nombre,cantidad,unidad_medida,stock_minimo
DELIMITADOR CON RETRO REFLECTOR INCORPORADO COLOR VERDE CON SALIDA DE CABLES ENVAINADO,1000,unidad,1
"FARO REDONDO ELECTR. DIAM 4"" CON 30 LEDS, BIVOLTAJE (12/24V) COLOR ROJO POS / AMBAR GIRO",1000,unidad,1
"FARO REDONDO ELECTR. DIAM 4"" CON 30 LEDS, BIVOLTAJE (12/24V) COLOR ROJO POS / CRISTAL RETROCESO",1000,unidad,1
"FARO REDONDO ELECTR. DIAM 4"" CON 30 LEDS BIVOLTAJE (12/24V) COLOR ROJO POS / STOP",1000,unidad,1
TENSOR FIJO MH 500 MM,1000,unidad,1
TENSOR FIJO MH 450 MM,1000,unidad,1
GUARDA - FANGO WEBER 2000X380,1000,unidad,1
GUARDA - FANGO WEBER 630X550,1000,unidad,1
HGF,1000,unidad,1
MANGUITO 55211-G/2W3,1000,unidad,1
SOPORTE 2201LC04240136-H,1000,unidad,1
POLEA FUND. 4 B 180,1000,unidad,1
POLEA FUND. 4 B 200,1000,unidad,1
PALLET,1000,unidad,1
BOLSAS CAL HIDRAT EXTRA 25KG,1000,unidad,1
"RDA. M. BENZ 7.5 X 22,5""",1000,unidad,1
VALVULAS TIPO SCHRADER P/RUEDA,1000,unidad,1
MANGUITO 55211-G/23,1000,unidad,1
NTN 3322001LC04181,1000,unidad,1
CRUZ 104605-G/21,1000,unidad,1
MANGUITO 22093LC0500069S,1000,unidad,1
DPI 2201LC04240136-H,1000,unidad,1
ADAPTADOR JIC X ORING 1.1/16 X 1.1/16,1000,unidad,1
CODO 90 JIC X ORING 1.1/16,1000,unidad,1
CODO 90 HG JIC X JIC 1.1/16,1000,unidad,1
FARO 650,1000,unidad,1
FARO 850,1000,unidad,1
FARO 103,1000,unidad,1
"TAPON 1"" AISI 304",1000,unidad,1
"TEE ROSC 1"" AISI 304",1000,unidad,1
"CODO ROSC 1"" AISI 304",1000,unidad,1
1210-R (1209-K),1000,unidad,1
1244. (H-309),1000,unidad,1
3896. (SN-509),1000,unidad,1
CONO BALIZADOR 55 CM,1000,unidad,1
AUTOPERFORANTE 8X1 1/2 TANQUE MECHA,1000,unidad,1
BULON G5HEX USS 5/8X6/,1000,unidad,1
"BULON DE DISCO 22 X 95MM S/TUERCA M, BENZ 301",1000,unidad,1
TUERCA DE DISCO RANDDN / M. BENZ 308,1000,unidad,1
RETEN DE RUEDA BAÑO ACEITE. SAV 6766 W01184,1000,unidad,1
BOLSA DE PRECINTOS SYBYD ALT 5 NEGRO,1000,unidad,1
CABLE TIPO TALLER 2X1 MM,1000,unidad,1
LAMPARA FORZA ALIC 55W,1000,unidad,1
ROLLO DE CINTA AISLADORA VINI-TAPE X 20 MTS,1000,unidad,1
LAMPARA LED 12W INTERELEC FRIA,1000,unidad,1
LAMPARA LED 50W IDOLER,1000,unidad,1
MANGUERA HIDROCARBUROS 19MM 300LBRS,1000,unidad,1
"AEROSOL LUBRICANTE AFLOJA TODO ""GRANDE""",1000,unidad,1
SELLADOR SILOC 300 GMS NEGRO/TRANS/BLA PROFESIONAL,1000,unidad,1
SELLADOR SINTETICO (PINTABLE) 310 GMS SELLA CARROCERIAS,1000,unidad,1
CORREA EVER WEAR B-090,1000,unidad,1
CORREA EVER WEAR A-038,1000,unidad,1
CORREA EVER WEAR B-059,1000,unidad,1
CORREA EVER WEAR A-063,1000,unidad,1
BOMBACHA CAMPO OMBU ALFORZADA,1000,unidad,1
CORREA EVER WEAR B-053,1000,unidad,1
CORREA EVER WEAR B-061,1000,unidad,1
BOTA NAUTICA C/CUELLO AMAR/AZUL 39/44 960,1000,unidad,1
PLAFON LED SYBYD REDONDO 12 W,1000,unidad,1
DISYUNTOR BIPOLAR 25AMP STECK,1000,unidad,1
TERMICA BIPOLAR 10AMP STECK,1000,unidad,1
TERMICA BIPOLAR 6AMP AEA,1000,unidad,1
CAJA KALOP EXTERIOR,1000,unidad,1
BASTIDOR EXULT,1000,unidad,1
TAPA EXULT BLANCA,1000,unidad,1
