nombre,cantidad,unidad_medida,stock_minimo
DISCOS SOP ROTOR 210 MM DOB,1000,unidad,1
CONECTOR SUPERIOR,1000,unidad,1
CONECTOR INFERIOR 1/4,1000,unidad,1
ROTOR 3/4 CORTO,1000,unidad,1
ARANDELA DE TRABA ESTRIADA,1000,unidad,1
CONO DE AJUSTE P/TUBO 1/4,1000,unidad,1
TCA. MET. FIJACION 3/8/ CVA C,1000,unidad,1
CAÑO BAJADA DE BAJADA 65 CM C,1000,unidad,1
CURVA CUBRERROTOR GRIS P/ TAPA,1000,unidad,1
"CAÑO USO MEC.4"" (114,3) X 6.40 MTS",1000,unidad,1
"CA.EST.CUAD. 25X25X1,24",1000,unidad,1
"CA.EST.RECT. 20X10X1,24",1000,unidad,1
BULON G5 HEX USS 3/4X3/1/2,1000,unidad,1
TERMINAL PARA BATERIA MORDAZA GRANDE M2,1000,unidad,1
ANTIPARRA COV-19 TRANSPARENTE-NEGRO,1000,unidad,1
YUMA 695/13,1000,unidad,1
YUMA 613/13,1000,unidad,1
CORREA EVER WEAR B-077,1000,unidad,1
BOMBACHA CAMPO OMBU TALLE 36/60,1000,unidad,1
P. PROTECTOR TRAS PLAS 32/1,1000,unidad,1
P. PROTECTOR DELAN PLAS 32/1 DERECHA,1000,unidad,1
P. PROTECTOR DELAN PLAS 32/1 IZQUIERDA,1000,unidad,1
P. PROTECTOR DELAN PLAS 32/,1000,unidad,1
SOPORTE ARTICULADO 650X650 HOMOLOGADO,1000,unidad,1
PARAGOLPE SEMIACOPLADO HOMO,1000,unidad,1
PERFIL ALUMINIO 100X32X6000 POR METRO,1000,unidad,1
4 ABRAZADERAS 1/2 CT,1000,unidad,1
CERRADURAS ART.200 EN CAJA,1000,unidad,1
ESMALTE A. POLIU. 0100 X 04 NEGRO SAT,1000,unidad,1
CONVERTIDOR PARA POLI. 9003 X 1,1000,unidad,1
ALBALATEX INTERIORES BCO. X 10,1000,unidad,1
LIJA AL AGUA AA 600,1000,unidad,1
BURLETE ESPONJA 15X 30 MM,1000,unidad,1
BURLETE ESPONJA 40 X 60 MM,1000,unidad,1
BURLETE MEDICA CAÑA CON AGUJEROS CAUCHO EPDM,1000,unidad,1
